Area,Location,Project_Name,BHK,Sale_price,Plot_no,Survey_no,GAT_No,No_Buildings,Brokerage_Lac,Covered_Parking,Open_Parking,cal_price,final_price
734,Pimpri Chinchwad,Vision Aristo,2,0.538,,39,,4,0,0,0,5380000,5380000
972,Pimpri Chinchwad,Vision Aristo,3,0.7259,,39,,4,0,0,0,7259000,7259000
1383,Pimpri Chinchwad,City One Panache,3,1.55,,,,,0,0,0,15500000,15500000
1870,Pimpri Chinchwad,City One Panache,4,2.11,,,,,0,0,0,21100000,21100000
729,Pimpri Chinchwad,24 Sunshine Towers,2,0.42,,,606,4,0,0,0,4200000,4200000
949,Pimpri Chinchwad,24 Sunshine Towers,3,0.5981,,,606,4,0,0,0,5981000,5981000
359,Pirangut,Excellaa Florence,1,0.2193,,,"148/1,149,150,151 & 254 ",4,0,0,0,2193000,2193000
597,Pirangut,Excellaa Florence,2,0.3391,,,"148/1,149,150,151 & 254 ",4,0,0,0,3391000,3391000
2400,Sinhagad Road,Nanded City Pune Rhythm I II III,1,1.42,,,,,0,0,0,14200000,14200000
5234,Sinhagad Road,Nanded City Pune Rhythm I II III,2,3.01,,,,,0,0,0,30100000,30100000
771,Paud Road,Vyas Sudhendu Co Op Hsg Society,2,1.41,83,121,,,0,0,0,14100000,14100000
1194,Paud Road,Vyas Sudhendu Co Op Hsg Society,3,2.14,83,121,,,0,0,0,21400000,21400000
736,Pashan Road,Angal Nakshatra,2,0.68,,May-81,,,0,0,0,6800000,6800000
762,Pashan Road,Angal Nakshatra,2,0.7112,,May-81,,,0,0,0,7112000,7112000
331,Hadapsar,Green Hive Plus,1,0.2873,,165,,2,0,0,0,2873000,2873000
618,Hadapsar,Green Hive Plus,2,0.4255,,165,,2,0,0,0,4255000,4255000
715,Manjri,Kalpataru Serenity,2,0.5975,"[nan, nan]",,,11,0,0,0,5975000,5975000
826,Paud Road,Goel Ganga Utopia,2,0.9023,,46/1/,,,0,0,0,9023000,9023000
